Date,Apple,Microsoft,Tesla,Starbucks,Amazon
10/5/20,116.50,210.38,425.68,88.47,3199.20
10/6/20,113.16,205.91,413.98,87.01,3099.96
10/7/20,115.08,209.83,425.30,88.45,3195.69
10/8/20,114.97,210.58,425.92,89.53,3190.55
10/9/20,116.97,215.81,434.00,90.01,3286.65
10/12/20,124.40,221.40,442.30,90.78,3442.93
10/13/20,121.10,222.86,446.65,90.16,3443.63
10/14/20,121.19,220.86,461.30,89.31,3363.71
10/15/20,120.71,219.66,448.88,88.83,3338.65
10/16/20,119.02,219.66,439.67,88.52,3272.71
10/19/20,115.98,214.22,430.83,87.60,3207.21
10/20/20,117.51,214.65,421.94,88.51,3217.01
10/21/20,116.87,214.80,422.64,88.27,3184.94
10/22/20,115.75,214.89,425.79,89.36,3176.40
10/23/20,115.04,216.23,420.63,90.80,3204.40
10/26/20,115.05,210.08,420.28,89.66,3207.04
10/27/20,116.60,213.25,424.68,90.05,3286.33
10/28/20,111.20,202.68,406.02,87.17,3162.78
10/29/20,115.32,204.72,410.83,88.30,3211.01
10/30/20,108.86,202.47,388.04,86.96,3036.15
11/2/20,108.77,202.33,400.51,85.97,3004.48
11/3/20,110.44,206.43,423.90,88.39,3048.41
11/4/20,114.95,216.39,420.98,89.79,3241.16
11/5/20,119.03,223.29,438.09,90.62,3322.00
11/6/20,118.69,223.72,429.95,90.65,3311.37
11/9/20,116.32,218.39,421.26,95.88,3143.74
11/10/20,115.97,211.01,410.36,93.92,3035.02
11/11/20,119.49,216.55,417.13,95.04,3137.39
11/12/20,119.21,215.44,411.76,93.53,3110.28
11/13/20,119.26,216.51,408.50,95.56,3128.81
11/16/20,120.30,217.23,408.09,97.78,3131.06
11/17/20,119.39,214.46,441.61,98.60,3135.66
11/18/20,118.03,211.08,486.64,97.91,3105.46
11/19/20,118.64,212.42,499.27,97.76,3117.02
11/20/20,117.34,210.39,489.61,97.01,3099.40
11/23/20,113.85,210.11,521.85,96.88,3098.39
11/24/20,115.17,213.86,555.38,98.30,3118.06
11/25/20,116.03,213.87,574.00,98.20,3185.07
11/27/20,116.59,215.23,585.76,98.66,3195.34
11/30/20,119.05,214.07,567.60,98.02,3168.04
12/1/20,122.72,216.21,584.76,98.82,3220.08
12/2/20,123.08,215.37,568.82,98.91,3203.53
12/3/20,122.94,214.24,593.38,100.11,3186.73
12/4/20,122.25,214.36,599.04,102.28,3162.58
12/7/20,123.75,214.29,641.76,101.41,3158.00
12/8/20,124.38,216.01,649.88,101.21,3177.29
12/9/20,121.78,211.80,604.48,100.40,3104.20
12/10/20,123.24,210.52,627.07,105.39,3101.49
12/11/20,122.41,213.26,609.99,103.00,3116.42
12/14/20,121.78,214.20,639.83,103.32,3156.97
12/15/20,127.88,214.13,633.25,104.18,3165.12
12/16/20,127.81,219.28,622.77,103.27,3240.96
12/17/20,128.70,219.42,655.90,103.21,3236.08
12/18/20,126.66,218.59,695.00,103.28,3201.65
12/21/20,128.23,222.59,649.86,102.94,3206.18
12/22/20,131.88,223.94,640.34,102.41,3206.52
12/23/20,130.96,221.02,645.98,102.06,3185.27
12/24/20,131.97,222.75,661.77,102.01,3172.69
12/28/20,136.69,224.96,663.69,104.34,3283.96
12/29/20,134.87,224.15,665.99,105.63,3322.00
12/30/20,133.72,221.68,694.78,105.97,3285.85
12/31/20,132.69,222.42,705.67,106.98,3256.93
1/4/21,129.41,217.69,729.77,103.10,3186.63
1/5/21,131.01,217.90,735.11,103.44,3218.51
1/6/21,126.60,212.25,755.98,104.19,3138.38
1/7/21,130.92,218.29,816.04,103.35,3162.16
1/8/21,132.05,219.62,880.02,105.67,3182.70
1/11/21,128.98,217.49,811.19,104.60,3114.21
1/12/21,128.80,214.93,849.44,102.82,3120.83
1/13/21,130.89,216.34,854.41,102.89,3165.89
1/14/21,128.91,213.02,845.00,101.82,3127.47
1/15/21,127.14,212.65,826.16,102.33,3104.25
1/19/21,127.83,216.44,844.55,102.54,3120.76
1/20/21,132.03,224.34,850.45,105.46,3263.38
1/21/21,136.87,224.97,844.99,104.58,3306.99
1/22/21,139.07,225.95,846.64,103.91,3292.23
1/25/21,142.92,229.53,880.80,103.45,3294.00
